ReportDate,ReportYear,ReportMonth,ReportDay,WeekNum,YearWeekNum,ReportYearISO,WeekNumISO,YearWeekNumISO,GrossSales,NetSales
2016-11-23,2016,11,4,47,2016-47,2016,47,2016-47,2679.94,2508.95
2016-11-24,2016,11,5,47,2016-47,2016,47,2016-47,0,0
2016-11-25,2016,11,6,48,2016-48,2016,47,2016-47,2027.62,1900.02
2016-11-26,2016,11,7,48,2016-48,2016,47,2016-47,1799.86,1685.42
2016-11-27,2016,11,1,48,2016-48,2016,47,2016-47,2077.96,1946.4
2016-11-28,2016,11,2,48,2016-48,2016,48,2016-48,1158.39,1084.94
2016-11-29,2016,11,3,48,2016-48,2016,48,2016-48,1339.46,1254.63
2016-11-30,2016,11,4,48,2016-48,2016,48,2016-48,1766.08,1654.23
2016-12-01,2016,12,5,48,2016-48,2016,48,2016-48,1322.82,1239.18
2016-12-02,2016,12,6,49,2016-49,2016,48,2016-48,2806.29,2628
2016-12-03,2016,12,7,49,2016-49,2016,48,2016-48,2182.77,2044.53
2016-12-04,2016,12,1,49,2016-49,2016,48,2016-48,2069.77,1939.95
2016-12-05,2016,12,2,49,2016-49,2016,49,2016-49,1145.01,1072.97
2016-12-06,2016,12,3,49,2016-49,2016,49,2016-49,1005.85,942.5
2016-12-07,2016,12,4,49,2016-49,2016,49,2016-49,1280.72,1200.01
2016-12-08,2016,12,5,49,2016-49,2016,49,2016-49,1527.1,1430.91
2016-12-09,2016,12,6,50,2016-50,2016,49,2016-49,2768.57,2593.37
2016-12-10,2016,12,7,50,2016-50,2016,49,2016-49,2215.41,2076.11
2016-12-11,2016,12,1,50,2016-50,2016,49,2016-49,1671.73,1567.2
2016-12-12,2016,12,2,50,2016-50,2016,50,2016-50,1169.86,1072.21
2016-12-13,2016,12,3,50,2016-50,2016,50,2016-50,910.73,853.7
2016-12-14,2016,12,4,50,2016-50,2016,50,2016-50,1589.14,1488.5
2016-12-15,2016,12,5,50,2016-50,2016,50,2016-50,1725.25,1616.39
2016-12-16,2016,12,6,51,2016-51,2016,50,2016-50,2651.61,2483.56
2016-12-17,2016,12,7,51,2016-51,2016,50,2016-50,2286,2142
2016-12-18,2016,12,1,51,2016-51,2016,50,2016-50,1878.68,1760.08
2016-12-19,2016,12,2,51,2016-51,2016,51,2016-51,853.23,799.01
2016-12-20,2016,12,3,51,2016-51,2016,51,2016-51,1260.45,1180.62
2016-12-21,2016,12,4,51,2016-51,2016,51,2016-51,1702,1593.51
2016-12-22,2016,12,5,51,2016-51,2016,51,2016-51,1489.03,1394.72
2016-12-23,2016,12,6,52,2016-52,2016,51,2016-51,2839.89,2657.65
2016-12-24,2016,12,7,52,2016-52,2016,51,2016-51,947.09,886.58
2016-12-25,2016,12,1,52,2016-52,2016,51,2016-51,0,0
2016-12-26,2016,12,2,52,2016-52,2016,52,2016-52,1807.7,1693.36
2016-12-27,2016,12,3,52,2016-52,2016,52,2016-52,1215.76,1138.69
2016-12-28,2016,12,4,52,2016-52,2016,52,2016-52,1329.78,1245.66
2016-12-29,2016,12,5,52,2016-52,2016,52,2016-52,1298.45,1216.24
2016-12-30,2016,12,6,52,2016-52,2016,52,2016-52,2443.02,2288.11
2016-12-31,2016,12,7,52,2016-52,2016,52,2016-52,2054.08,1922.94
2017-01-01,2017,1,1,1,2017-1,2016,52,2016-52,2130.69,1996.31
2017-01-02,2017,1,2,1,2017-1,2017,1,2017-1,1049.98,983.59
2017-01-03,2017,1,3,1,2017-1,2017,1,2017-1,1049.39,983.22
2017-01-04,2017,1,4,1,2017-1,2017,1,2017-1,1055.58,988.49
2017-01-05,2017,1,5,1,2017-1,2017,1,2017-1,1233.22,1154.6
2017-01-06,2017,1,6,1,2017-1,2017,1,2017-1,2287.96,2142.65
2017-01-07,2017,1,7,1,2017-1,2017,1,2017-1,1367.33,1282.18
2017-01-08,2017,1,1,2,2017-2,2017,1,2017-1,1813.6,1699.45
2017-01-09,2017,1,2,2,2017-2,2017,2,2017-2,0,0
2017-01-10,2017,1,3,2,2017-2,2017,2,2017-2,1070.69,1003.24
2017-01-11,2017,1,4,2,2017-2,2017,2,2017-2,906.24,848.76
2017-01-12,2017,1,5,2,2017-2,2017,2,2017-2,1506.52,1410.05
2017-01-13,2017,1,6,2,2017-2,2017,2,2017-2,2457.27,2301.25
2017-01-14,2017,1,7,2,2017-2,2017,2,2017-2,2315.96,2168.72
2017-01-15,2017,1,1,3,2017-3,2017,2,2017-2,2171.32,2034.12
