Dates,Year,Sales
6/2-6/8,2014,20388
6/10-6/16,2014,19612
6/17-6/23,2014,18463
6/24-6/30,2014,19275
7/1-7/7,2014,19006
7/8-7/14,2014,17823
7/15-7/21,2014,17454
7/22-7/28,2014,17511
7/28-8/3,2014,17968
8/5-8/11,2014,17512
8/11-8/17,2014,17745
8/18-8/24,2014,18652
8/25-8/31,2014,18457
9/1-9/7,2014,19616
9/8-9/14,2014,20179
9/15-9/21,2014,20147
9/22-9/28,2014,20075
9/30-10/6,2014,21148
10/7-10/13,2014,20788
10/14-10/20,2014,21578
10/21-10/27,2014,22249
10/28-11/3,2014,23654
11/4-11/10,2014,21061
11/11-11/17,2014,20865
11/18-11/24,2014,23267
11/25-12/1,2014,18948
12/2-12/8,2014,20789.44
12/9-12/15,2014,22376.26
12/16-12/22,2014,20996.35
12/23-12/29,2014,16328.74
12/29-1/4,2015,20350.47
1/6-1/12,2015,20918
1/12-1/18,2015,21852
1/19-1/25,2015,19961.65
1/27-2/2,2015,20386.36
2/3-2/9,2015,20960.54
