ReportDate,ReportYear,ReportMonth,ReportDay,WeekNum,WeekNumISO,GrossSales,NetSales
12/16/2016,2016,12,6,51,50,2651.61,2483.56
12/17/2016,2016,12,7,51,50,2286,2142
12/18/2016,2016,12,1,51,50,1878.68,1760.08
12/19/2016,2016,12,2,51,51,853.23,799.01
12/20/2016,2016,12,3,52,51,1260.45,1180.62
12/21/2016,2016,12,4,52,51,1702,1593.51
12/22/2016,2016,12,5,52,51,1489.03,1394.72
12/23/2016,2016,12,6,52,51,2839.89,2657.65
12/24/2016,2016,12,7,52,51,947.09,886.58
12/25/2016,2016,12,1,52,51,0,0
12/26/2016,2016,12,2,52,52,1807.7,1693.36
12/27/2016,2016,12,3,52,52,1215.76,1138.69
12/28/2016,2016,12,4,52,52,1329.78,1245.66
12/29/2016,2016,12,5,52,52,1298.45,1216.24
12/30/2016,2016,12,6,52,52,2443.02,2288.11
12/31/2016,2016,12,7,52,52,2054.08,1922.94
1/1/2017,2017,1,1,1,52,2130.69,1996.31
1/2/2017,2017,1,2,1,1,1049.98,983.59
1/3/2017,2017,1,3,1,1,1049.39,983.22
1/4/2017,2017,1,4,1,1,1055.58,988.49
1/5/2017,2017,1,5,2,1,1233.22,1154.6
1/6/2017,2017,1,6,2,1,2287.96,2142.65
1/7/2017,2017,1,7,2,1,1367.33,1282.18
1/8/2017,2017,1,1,2,1,1813.6,1699.45
1/9/2017,2017,1,2,2,2,0,0
1/10/2017,2017,1,3,2,2,1070.69,1003.24
1/11/2017,2017,1,4,2,2,906.24,848.76
1/12/2017,2017,1,5,3,2,1506.52,1410.05
1/13/2017,2017,1,6,3,2,2457.27,2301.25
1/14/2017,2017,1,7,3,2,2315.96,2168.72
1/15/2017,2017,1,1,3,2,2171.32,2034.12
1/16/2017,2017,1,2,3,3,1008.02,944.66
1/17/2017,2017,1,3,3,3,777.2,727.71
1/18/2017,2017,1,4,3,3,1255.18,1176.07
1/19/2017,2017,1,5,4,3,1148.53,1076.18
1/20/2017,2017,1,6,4,3,2109.08,1975.39
1/21/2017,2017,1,7,4,3,2168.95,2030.87
1/22/2017,2017,1,1,4,3,2055.16,1925.75
1/23/2017,2017,1,2,4,4,598.58,560.94
1/24/2017,2017,1,3,4,4,1163.58,1089.95
1/25/2017,2017,1,4,4,4,1097.27,1027.72
1/26/2017,2017,1,5,5,4,1519.93,1423.73
1/27/2017,2017,1,6,5,4,2364.64,2214.94
1/28/2017,2017,1,7,5,4,1423.1,1333.75
1/29/2017,2017,1,1,5,4,1752.61,1641.73
1/30/2017,2017,1,2,5,5,1012.29,947.38
1/31/2017,2017,1,3,5,5,1361.78,1274.96
2/1/2017,2017,2,4,5,5,773.31,724.28
2/2/2017,2017,2,5,6,5,1229.33,1151.53
2/3/2017,2017,2,6,6,5,3075,2879.8
2/4/2017,2017,2,7,6,5,2094.26,1961.7
2/5/2017,2017,2,1,6,5,2108.54,1974.6
2/6/2017,2017,2,2,6,6,794.45,744.11
2/7/2017,2017,2,3,6,6,788.57,739.35
2/8/2017,2017,2,4,6,6,1603.53,1501.85
2/9/2017,2017,2,5,7,6,1861.81,1747.75
2/10/2017,2017,2,6,7,6,2634.9,2468.73
2/11/2017,2017,2,7,7,6,1656.51,1551.41
2/12/2017,2017,2,1,7,6,1703.97,1597.55
2/13/2017,2017,2,2,7,7,1648.88,1546.66
2/14/2017,2017,2,3,7,7,958.41,898.3
2/15/2017,2017,2,4,7,7,1103,1033.23
2/16/2017,2017,2,5,8,7,1162.73,1088.79
2/17/2017,2017,2,6,8,7,2392.32,2241.01
2/18/2017,2017,2,7,8,7,1883.07,1764.1
2/19/2017,2017,2,1,8,7,1849.04,1732.32
2/20/2017,2017,2,2,8,8,1023.94,959.06
2/21/2017,2017,2,3,8,8,1112.31,1041.79
2/22/2017,2017,2,4,8,8,1086.2,1017.43
2/23/2017,2017,2,5,9,8,1431.89,1340.91
2/24/2017,2017,2,6,9,8,2451.46,2295.58
2/25/2017,2017,2,7,9,8,2168.81,2031.04
2/26/2017,2017,2,1,9,8,1202.88,1127.28
2/27/2017,2017,2,2,9,9,721.81,676.48
2/28/2017,2017,2,3,9,9,918.99,860.56
3/1/2017,2017,3,4,9,9,1468.54,1374.77
3/2/2017,2017,3,5,10,9,997.55,934.12
3/3/2017,2017,3,6,10,9,2933.51,2747.12
3/4/2017,2017,3,7,10,9,1998.65,1871.9
3/5/2017,2017,3,1,10,9,1848.41,1732.11
3/6/2017,2017,3,2,10,10,760.55,712
3/7/2017,2017,3,3,10,10,914.93,857.14
3/8/2017,2017,3,4,10,10,939.29,879.83
3/9/2017,2017,3,5,11,10,1267.13,1187.07
3/10/2017,2017,3,6,11,10,2563.09,2400.4
3/11/2017,2017,3,7,11,10,1678.49,1572.3
3/12/2017,2017,3,1,11,10,1486.92,1393.27
3/13/2017,2017,3,2,11,11,1062.2,994.43
3/14/2017,2017,3,3,11,11,906.14,851.54
3/15/2017,2017,3,4,11,11,967.61,906.1
3/16/2017,2017,3,5,12,11,1308.71,1225.37
3/17/2017,2017,3,6,12,11,2357.59,2208.91
3/18/2017,2017,3,7,12,11,2087.68,1955.62
